title,description,url
 Programming Ruby: The Pragmatic Programmers' Guide,This book provides clear and concise explanation of topics for programmers both starting to learn the Ruby programming language as well as those diving in more complex topics. Examples are linked to online playground that allows you to play with them.,https://freecomputerbooks.com/Programming-Ruby-The-Pragmatic-Programmers-Guide.html
 Essential Ruby (Krzysztof Kowalczyk),"Teach you how to program. You'll learn to use your computer better, to get it to do what you want it to do. Starting with small, simple one-line programs to calculate your age in seconds, you'll see how to advance to fully structured, real programs.",https://freecomputerbooks.com/Essential-Ruby.html
" Learn to Program (in Ruby), Second Edition (Chris Pine)","This book is a concise introduction to data structures and algorithms in Ruby. Data structures are presented in a container hierarchy that includes stacks and queues as non-traversable dispensers, and lists, sets, and maps as traversable collections.",https://freecomputerbooks.com/Learn-to-Program.html
 Ruby Data Structures and Algorithms (Christopher Fox),"You will find the fundamental aspects of the Ruby programming language. It will explain theories and lessons through detailed instructions and practical examples. You'll learn how to get Ruby, how to write Ruby statements, and how to use this language in creating your own programs.",https://freecomputerbooks.com/Ruby-Data-Structures-and-Algorithms.html
 Ruby Programming (Wikibooks),"With this book, you'll learn about blocks by looking at each concept from different angles. Exercises throughout will help you understand and remember how these closure-like structures work.",https://freecomputerbooks.com/Ruby-Programming-Wikibook.html
 Using Blocks in Ruby: A Brain-Friendly Report (Jay McGavren),"In this book, you'll learn Ruby by working through 52 brilliantly crafted exercises. As you do, you'll learn how software works; what good programs look like; how to read, write, and think about code; and how to find and fix your mistakes using tricks professional programmers use.",https://freecomputerbooks.com/Using-Blocks-in-Ruby-A-Brain-Friendly-Report.html
 Learn Ruby the Hard Way: A Simple and Idiomatic Introduction,"With this unique hands-on learning experience, you'll discover how Ruby takes care of all the details for you, so you can simply have fun and get more done with less code. This book is written for GNU/Linux users.",https://freecomputerbooks.com/Learn-Ruby-The-Hard-Way.html
 I Love Ruby (Karthikeyan A K),"If you have a little experience programming in Ruby, then you're ready to start making your own video games. In this book you'll learn concepts such as animation, keyboard and mouse movement, sounds and music, and physics as you build exciting games.",https://freecomputerbooks.com/I-Love_Ruby-by-Karthikeyan.html
 Developing Games With Ruby (Tomas Varaneckas),This book provides clear and concise explanation of topics for programmers both starting to learn the Ruby On Rails programming as well as those diving in more complex topics. Examples are linked to online playground that allows you to play with them.,https://freecomputerbooks.com/Developing-Games-With-Ruby.html
 Essential Ruby On Rails (Krzysztof Kowalczyk),Leading Rails developer Michael Hartl teaches Rails by guiding you through the development of your own complete sample application using the latest techniques in Rails web development.,https://freecomputerbooks.com/Essential-Ruby-On-Rails.html
 Ruby on Rails Tutorial: Learn Web Development with Rails,"This book is a tutorial on steroids on how to buid your next API with Rails. The goal of this book is to provide an answer on how to develop a RESTful API following the best practices out there, along with the author's own experience.",https://freecomputerbooks.com/Ruby-on-Rails-Tutorial.html
 APIs on Rails - Building REST APIs with Rails (Abraham Kuri),"The Ruby Hacking Guide is a book that explains how the ruby interpreter (the official C implementation of the Ruby language) works internally. To fully understand it, you need a good knowledge of C and Ruby.",https://freecomputerbooks.com/APIs-on-Rails-Building-REST-APIs-with-Rails.html
 Ruby Hacking Guide (Minero Aoki),"This book provides a concise and easy to follow guide to learning Ruby. Everything from installing Ruby and the basics of the language through to topics such as arrays, file handling and object-oriented programming are covered.",https://freecomputerbooks.com/Ruby-Hacking-Guide.html
 Ruby Essentials (Neil Smyth),"This book will guide you in creating a Rails application. It will focus on setting your system up properly and will fly a little lower than the typical 50,000 foot level of many tutorials.",https://freecomputerbooks.com/Ruby-Essentials.html
 Rails Deep Dive (Glenn Goodrich),"This is a developer's notebook documenting some guidelines, techniques, and ideas for applying classic object-oriented thought to Ruby on Rails applications. The focus is on pragmatic solutions of the Rails golden path, and rigid OO purity.",https://freecomputerbooks.com/Rails-Deep-Dive.html
 Objects on Rails (Avdi Grimm),"This is an introduction to programming and its practical uses for journalists, researchers, scientists, analysts, and anyone else whose job is to seek out, make sense from, and show the hard-to-find data.",https://freecomputerbooks.com/Objects-on-Rails.html
 The Bastards Book of Ruby (Dan Nguyen),"The book describes 45 algorithms from the field of Artificial Intelligence. All algorithm descriptions are complete and consistent to ensure that they are accessible, usable and understandable by a wide audience.",https://freecomputerbooks.com/The-Bastards-Book-of-Ruby.html
 Clever Algorithms: Nature-Inspired Programming Recipes in Ruby,"It covers the base syntax of the language, including working with values, flow control, and object oriented programming, into some of the library functionality of Ruby, such as databases, web services, and string manipulation.",https://freecomputerbooks.com/Clever-Algorithms.html
